News#,Title Content,match,score,Polarity
1,"California Microwave previously estimated the write-downs in the six to eight-mln-dlr range.","",0,Neutral
2,"HEALTH RESEARCH FILES FOR BANKRUPTCY","",0,Neutral
3,"NUMEREX CORP <NMRX> 2ND QTR JAN 31 LOSS","LOSS",-1,Negative
4,"U.S. SELLING 12.8 BILLION DLRS OF 3 AND 6-MO BILLS MARCH 30 TO PAY DOWN 1.2 BILLION DLRS","",0,Neutral
5,"U.S. 2-YEAR NOTE AVERAGE YIELD 6.43 PCT, STOP 6.44 PCT, AWARDED AT HIGH YIELD 85 PCT","HIGH, AWARDED",2,Positive
6,"COMMODORE <CBU>, ATARI IN SETTLEMENT","",0,Neutral
7,"BALDRIGE SUPPORTS NIC TALKS ON CURRENCIES","SUPPORTS",1,Positive
8,"TRIANGLE <TRI> BEGINS EXCHANGE OFFER","",0,Neutral
9,"SOUTHMARK <SM> UNIT IN PUBLIC OFFERING OF STOCK","",0,Neutral
10,"EASTMAN KODAK CO TO SELL HOLDINGS IN ICN PHARMACEUTICALS AND VIRATEK INC","",0,Neutral
11,"FEUD PERSISTS AT U.S. HOUSE BUDGET COMMITTTEE","",0,Neutral
12,"TREASURY BALANCES AT FED ROSE ON MARCH 23","",0,Neutral
13,"FARM CREDIT SYSTEM SEEN NEEDING 800 MLN DLRS AID","",0,Neutral
14,"USX <X> USS UNIT RAISES PRICES","",0,Neutral
15,"UNIONIST URGES RETALIATION AGAINST JAPAN","",0,Neutral
16,"EXXON (XON) GETS 99.2 MLN DLR CONTRACT","",0,Neutral
17,"EATON (ETN) GETS 53.0 MLN DLR CONTRACT","",0,Neutral
18,"ZAIRE AUTHORIZED TO BUY PL 480 RICE - USDA","",0,Neutral
19,"MCDONNELL DOUGLAS GETS 30.6 MLN DLR CONTRACT","",0,Neutral
20,"MIDIVEST ACQUIRES ASSETS OF BUSINESS AVIATION","",0,Neutral
21,"U.S. WHEAT CREDITS FOR JORDAN SWITCHED","",0,Neutral
22,"DOLLAR EXPECTED TO FALL DESPITE INTERVENTION","FALL",-1,Negative
23,"U.S. TO SELL 12.8 BILLION DLRS IN BILLS","",0,Neutral
24,"INLAND STEEL <IAD> TO BUILD NEW PLANT IN INDIANA","",0,Neutral
25,"EASTMAN KODAK <EK> TO SELL HOLDINGS","",0,Neutral
26,"GUINNESS SUES BOESKY IN FEDERAL COURT","SUES",-1,Negative
27,"FIRM REDUCES SCEPTRE RESOURCES <SRL> HOLDINGS","",0,Neutral
28,"GENCORP BOARD WITHDRAWS PROPOSALS TO STAGGER DIRECTORS TERMS","",0,Neutral
29,"<ACKLANDS LTD> 1ST QTR FEB 28 NET","",0,Neutral
